HeapSort,Comparisons,Permutation
,21,"[8, 1, 6, 2, 7, 5, 4, 3]"
,21,"[8, 1, 6, 2, 7, 4, 5, 3]"
,21,"[8, 1, 5, 3, 7, 6, 4, 2]"
,21,"[8, 1, 5, 3, 7, 4, 6, 2]"
,21,"[8, 1, 5, 2, 7, 6, 4, 3]"
,21,"[8, 1, 5, 2, 7, 4, 6, 3]"
,21,"[8, 1, 4, 3, 7, 6, 5, 2]"
,21,"[8, 1, 4, 3, 7, 5, 6, 2]"
,21,"[8, 1, 4, 2, 7, 6, 5, 3]"
,21,"[8, 1, 4, 2, 7, 5, 6, 3]"
