QuickSort,Comparisons,Permutation
,28,"[2, 3, 4, 5, 7, 6, 1, 8]"
,28,"[2, 3, 4, 5, 6, 8, 7, 1]"
,28,"[2, 3, 4, 5, 6, 7, 8, 1]"
,28,"[2, 3, 4, 5, 6, 7, 1, 8]"
,28,"[2, 3, 4, 5, 6, 1, 7, 8]"
,28,"[2, 3, 4, 5, 1, 6, 7, 8]"
,28,"[2, 3, 4, 1, 5, 6, 7, 8]"
,28,"[2, 3, 1, 4, 5, 6, 7, 8]"
,28,"[2, 1, 3, 4, 5, 6, 7, 8]"
,28,"[1, 2, 3, 4, 5, 6, 7, 8]"
