MergeSort,Comparisons,Permutation
,17,"[1, 3, 2, 7, 6, 4, 8, 5]"
,17,"[1, 3, 2, 7, 6, 4, 5, 8]"
,17,"[1, 3, 2, 7, 5, 8, 6, 4]"
,17,"[1, 3, 2, 7, 5, 8, 4, 6]"
,17,"[1, 3, 2, 7, 5, 6, 8, 4]"
,17,"[1, 3, 2, 7, 5, 6, 4, 8]"
,17,"[1, 3, 2, 7, 4, 8, 6, 5]"
,17,"[1, 3, 2, 7, 4, 8, 5, 6]"
,17,"[1, 3, 2, 7, 4, 6, 8, 5]"
,17,"[1, 3, 2, 7, 4, 6, 5, 8]"
