ShakerSort,Comparisons,Permutation
,28,"[1, 5, 6, 8, 7, 3, 4, 2]"
,28,"[1, 5, 6, 8, 7, 3, 2, 4]"
,28,"[1, 5, 6, 8, 7, 2, 4, 3]"
,28,"[1, 5, 6, 8, 7, 2, 3, 4]"
,28,"[1, 5, 6, 7, 8, 4, 3, 2]"
,28,"[1, 5, 6, 7, 8, 4, 2, 3]"
,28,"[1, 5, 6, 7, 8, 3, 4, 2]"
,28,"[1, 5, 6, 7, 8, 3, 2, 4]"
,28,"[1, 5, 6, 7, 8, 2, 4, 3]"
,28,"[1, 5, 6, 7, 8, 2, 3, 4]"
